BOM ID,TYPE,PHX Class,Theoretical QTY,Location,Cycle Count,Date Counted,UOM,Theo' x Actual Variance,Past 30 MO,Past 30 FO,Manufactured-Fulfilled,Received QTY After Actual Count (From Receiving Logs Only) (+),MFG After Actual (-),rank,,,,,,Theoretical QTY,Actual Count,Date Counted,WH Remarks,Variance,Random Count,Date Counted,Subtype
CLEARECOBAG-6X8,Eco Bags,,"7,500.00",,"7,500.00",09/01/24,units,0.00%,1350,1350,0,0,1350,12,,,,,,6150,0,10/07/24,,-100.00%,0,10/07/24,Shrink Bands
CLEARECOBAG-6X1,Eco Bags,,0,,,,units,0.00%,0,0,0,0,0,,,,,,,0,"2,800.00",10/07/24,,100.00%,"2,800.00",10/07/24,Shrink Bands
CLEARECOBAG-7.5X10,Eco Bags,,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Shrink Bands
CLEARECOBAG-10.5X14,Eco Bags,,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Shrink Bands
CLEARECOBAG-8.25x10.25,Eco Bags,C,"2,030.00",,"2,030.00",09/01/24,units,0.00%,0,0,0,0,0,88,,,,,,2030,"2,030.00",10/07/24,,0.00%,"2,030.00",10/07/24,Shrink Bands
Labels (Liquids),,,,,,,,,,,,,,,,,,,,,,,,,,,
LABL-NS-3.75x4.75-Liquid-Stevia-US-4oz,Label,B,"1,580.00",,"1,580.00",09/01/24,units,0.00%,800,800,0,0,1912,29,,,,,,-332,"1,580.00",10/07/24,,0.00%,"1,580.00",8/19/2024,Labels (Liquids)
LABL-NS-6x5-Liquid-Stevia-US-8oz,Eco Bags,A,"19,500.00",,"18,500.00",09/01/24,units,5.41%,11915,11812,103,1000,11915,4,,,,,,7585,"18,500.00",10/07/24,,-5.41%,"18,500.00",10/07/24,Labels (Liquids)
LABL-NS-6x5-Monk-Fruit-Liquid-US-8oz,Label,B,"1,000.00",,"1,000.00",09/01/24,units,0.00%,0,0,0,0,0,85,,,,,,1000,"1,000.00",10/07/24,,0.00%,"1,000.00",10/07/24,Labels (Liquids)
LABL-NS-6x5-Monk-Fruit-Liquid-Stevia-US-8oz,Label,B,"2,420.00",,"2,420.00",09/01/24,units,0.00%,0,0,0,0,0,118,,,,,,2420,"2,420.00",10/07/24,,0.00%,"2,420.00",10/07/24,Labels (Liquids)
LABL-NS-6x5-Organic-Liquid-Stevia-US-8oz,Label,PLC-2024,0,,,,units,0.00%,0,0,0,0,0,,,,,,,0,,10/07/24,,0.00%,,10/07/24,Labels (Liquids)
LABL-NS-2.875x3.750-Monk-Fruit-Stevia-Liquid-2oz,Label,C,"3,600.00",,"3,600.00",09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,3600,"3,600.00",10/07/24,,0.00%,"3,600.00",10/07/24,Labels (Liquids)
LABL-NS-6.125x5-Monk-Fruit-Stevia-Liquid-2oz,Label,,"6,500.00",,"6,500.00",09/01/24,units,0.00%,0,0,0,0,0,,,,,,,6500,"6,500.00",10/07/24,,0.00%,"6,500.00",10/07/24,Labels (Liquids)
LABL-NS-6x5-Organic-Liquid-Monk-Fruit-US-8oz,Label,PLC-2024,500,,500,09/01/24,units,0.00%,0,0,0,0,0,,,,,,,500,500,10/07/24,,0.00%,500,10/07/24,Labels (Liquids)
LABL-WHYZ-6.125x5-Liquid-Stevia-Drops-8oz,Label,A,"2,500.00",,"2,500.00",09/01/24,units,0.00%,1060,1060,0,0,1860,27,,,,,,640,"2,500.00",10/07/24,,0.00%,"2,500.00",8/19/2024,Labels (Liquids)
LABL-TN-3.75x2.875-Liquid-Stevia-Drops-2oz,Label,C,"1,000.00",,"1,000.00",09/01/24,units,0.00%,0,0,0,0,0,163,,,,,,1000,"1,000.00",10/07/24,,0.00%,"1,000.00",10/07/24,Labels (Liquids)
LABL-TN-6.125x5-Liquid-Stevia-Drops-8oz,Label,B,"1,479.00",,"1,479.00",09/01/24,units,0.00%,0,0,0,0,800,52,,,,,,679,"1,479.00",10/07/24,,0.00%,"1,479.00",10/07/24,Labels (Liquids)
LABL-TN-2.5x3.125-Monk-Fruit-Sweetener-1oz,Label,PLC-2024,"1,000.00",,"1,000.00",09/01/24,units,0.00%,0,0,0,0,0,,,,,,,1000,"1,000.00",10/07/24,,0.00%,"1,000.00",10/07/24,Labels (Liquids)
LABL-TN-2.5x3.125-Monk-Fruit-Sweetener-5oz,Label,PLC-2024,"1,000.00",,"1,000.00",09/01/24,units,0.00%,0,0,0,0,0,,,,,,,1000,"1,000.00",10/07/24,,0.00%,"1,000.00",10/07/24,Labels (Liquids)
LABL-TN-2.5x3.125-Monk-Fruit-Sweetener-1lb,Label,PLC-2024,"1,000.00",,"1,000.00",09/01/24,units,0.00%,0,0,0,0,0,,,,,,,1000,"1,000.00",10/07/24,,0.00%,"1,000.00",10/07/24,Labels (Liquids)
Purisure Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABL-PS-3.75x3-Black-Tea-Iced-4oz,Label,A,"6,000.00",,"2,000.00",09/01/24,units,200.00%,3040,2940,100,4000,4060,19,,,,,,1940,"4,000.00",10/07/24,,-50.00%,"4,000.00",10/07/24,Purisure Labels
LABL-PS-3.75x3-Black-Tea-125g,Label,A,"1,000.00",,0,09/01/24,units,0.00%,690,690,0,1000,690,59,,,,,,310,"2,000.00",10/07/24,,50.00%,"2,000.00",10/07/24,Purisure Labels
LABL-PS-3.75x3-Green-Tea-Extract-250g,Label,C,0,,0,09/01/24,units,0.00%,0,0,0,0,0,240,,,,,,0,0,10/07/24,,0.00%,0,10/07/24,Purisure Labels
