ASIN,iSKU,BOM ID,BOM Class,Component Type,Quantity (unit/kg/Liter),Material Unit Price,Per FG price,Status,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.1012,0.26,0.02673,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,M1006CL-Dome-Shrink-Band 66X175,Packaging,Safety Shrink Band,1,0.09,0.0912,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,TRIGGER-SPRAYER-24-410-7.75-Black,Packaging,Top Cover,1,0.72,0.72379,Active,
B08K19R2CB,AY-Fresh-Reset-Fabric-Spray-8oz,LABL-AY-Fresh-Reset-Fabric-Spray-8oz,Packaging,Label,1,0.26,0.26,Active,
B08JRWW595,AY-Garden-of-Youth-Stem-Cell-Serum-1oz,CLEARECOBAG-4X5,Packaging,Eco Bags,1,0.07,0.06937,Hibernated,
B08JRWW595,AY-Garden-of-Youth-Stem-Cell-Serum-1oz,AY-Garden-Of-Youth-Double-Stem-Cell-Serum,Raw Material,Turnkey FG,1,,,Hibernated,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,BTL-4oz-Cosmo-White-20-410,Packaging,Container/Pouch,1,0.24,0.24,Active,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,RM-Organic-Orange-Essential-Oil,Raw Material,Ingredient,0.0004,51.26,0.0205,Active,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,RM-TA-LEMON-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.0006,169.95,0.10197,Active,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,RM-TA-PEPPERMINT-ESSENTIAL-OIL-TMP,Raw Material,Ingredient,0.0006,70.95,0.04257,Active,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,RM-Lemongrass-Essential-Oil,Raw Material,Ingredient,0.004,50.93,0.20372,Active,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,RM-Polysorbate-20,Raw Material,Ingredient,0.0056,13.2,0.07392,Active,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,RM-ISO-ALCOHOL-99,Raw Material,Ingredient,0.0124,0.73,0.00906,Active,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,RM-Witch-Hazel-Distillate,Raw Material,Ingredient,0.04,4.03,0.16114,Active,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,RM-PURIFIED-WATER,Raw Material,Ingredient,0.36791,0.26,0.09719,Active,
B08KWL8VQ2,AY-Here-Comes-The-Sun-Room-Spray-16oz,LABL-AY-7.5x5.5-Here-Comes-The-Sun-Room-Spray-16oz,Packaging,Label,1,0.47,0.4655,Active,
