,,,,,,Powder COAs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURCHASE ORDER DETAILS,,,,,,,,,,,,,DELIVERY DETAILS,,,,,,,,,,,,,COA DETAILS,,,PRICING DETAILS,,,,,,,,,PAYMENT DETAILS,,,,,,,,,,,,,,,REMARKS,,,,,,
DATE ISSUED,REFERENCE,PO #,ASIN,BOM ID,DESCRIPTION,ITEM STATUS/NOTES,CATEGORY,PRODUCT,QTY,UOM,SUPPIER,STATUS,ESTIMATED MFG COMPLETION DATE,ESTIMATED MFG LEAD TIME (DAYS),ESTIMATED SHIPPING LEAD TIME (DAYS),ESTIMATED ARRIVAL DATE,CURRENT EXPECTED ARRIVAL DATE,ACTUAL MFG COMPLETION DATE,ACTUAL MFG LEAD TIME (DAYS),ACTUAL SHIPPING LEAD TIME (DAYS),ACTUAL ARRIVAL DATE,MFG LEAD TIME VARIANCE,SHIPPING LEAD TIME VARIANCE,SHIP TO,CONFIDENTIAL FOR NOVAEO ONLY,COA FOR CUSTOMERS,MFG DATE,EXPIRY DATE,UNIT PRICE,AMOUNT,FREIGHT,DUTY/TAXES,OTHER CHARGES,TOTAL AMOUNT,Landed Cost/unit,PAYMENT TERM,FREIGHT TERM,INVOICE NO.,DOWN PAYMENT,DP DUE DATE,DP DATE PAID,BALANCE AMOUNT,BALANCE DUE DATE,BALANCE PAID DATE,Withn MFG SLA,Within Shipping SLA,Agreed SLA,Delivery TL,Within XSLA,Year,Month,Week,FINDINGS,Type,ASIN,ISKU/BOM,QTY,UOM,Status
02/08/22,,0193666SO,,Scoop-.625cc,,,,,"4,500",pcs,National Measure,CHECKED IN,02/10/22,7,7,2/17/2022,2/14/2022,02/10/22,2,6,2/16/2022,0,-1,Tampa,,,,,$0.07 ,$306.00 ,$21.87 ,,,$327.87 ,$0.07 ,CBS,,,,,,,,,Yes,Yes,14,8,1,2022,Feb,6,UPS TN 1Z5683930378444803,Scoop,,Scoop-.625cc,"4,500",pcs,
02/08/22,,WB665630,,RM-PWD-Potassium-Sorbate,,,,,21,lbs,Essential Wholesale Labs,CHECKED IN,02/12/22,5,7,2/19/2022,2/15/2022,02/12/22,4,4,2/16/2022,0,-3,Tampa,,,,,$13.56 ,$284.76 ,$18.39 ,,,$303.15 ,$14.44 ,Advance Payment,,1684477,,,,,,,Yes,Yes,12,8,1,2022,Feb,6,UPS TN 1ZT29T260359555243,Ingredient,,RM-PWD-Potassium-Sorbate,21,lbs,
02/08/22,,2066,,M1005CL-Dome-Shrink-Band 77X185,,,,,"1,259",pcs,Container and Packaging,CHECKED IN,03/05/22,14,7,03/07/22,03/07/22,03/05/22,25,2,03/07/22,0,-5,Tampa,,,,,$0.09 ,$111.30 ,,,,$111.30 ,$0.09 ,NET45,,,,,,,,,No,Yes,21,27,0,2022,Feb,6,UPS TN 1Z8164390373794105,,,M1005CL-Dome-Shrink-Band 77X185,"1,259",pcs,
02/08/22,,2066,,M879CL-Dome-Shrink-Band 77X240,,,,,"5,000",pcs,Container and Packaging,CHECKED IN,03/05/22,14,7,03/07/22,03/07/22,03/05/22,25,2,03/07/22,0,-5,Tampa,,,,,$0.09 ,$465.00 ,,,,$465.00 ,$0.09 ,NET45,,,,,,,,,No,Yes,21,27,0,2022,Feb,6,UPS TN 1Z8164390373794105,Safety Shrink Band,,M879CL-Dome-Shrink-Band 77X240,"5,000",pcs,
02/08/22,,2066,,M1421CL-Dome-Shrink-Dome-90mmx220mm,,,,,"1,000",pcs,Container and Packaging,CHECKED IN,03/05/22,14,7,03/07/22,03/07/22,03/05/22,25,2,03/07/22,0,-5,Tampa,,,,,$0.11 ,$114.00 ,,,,$114.00 ,$0.11 ,NET45,,,,,,,,,No,Yes,21,27,0,2022,Feb,6,UPS TN 1Z8164390373794105,,,M1421CL-Dome-Shrink-Dome-90mmx220mm,"1,000",pcs,
02/11/22,,1967,,WL-Four-In-One-4oz-PLSF,,,,,"1,000",pcs,PLSF,CHECKED IN,02/11/22,7,7,2/18/2022,2/14/2022,02/11/22,0,5,2/16/2022,0,-2,Tampa,,,,,$4.05 ,"$4,050.00 ",,,,"$4,050.00 ",$4.05 ,100% Due on Receipt,,,,,,,,,Yes,Yes,14,5,1,2022,Feb,6,FedEx TN 776020809370,White Label,,WL-Four-In-One-4oz-PLSF,"1,000",pcs,
2/14/2022,,3.17E+12,,RM-Aloe-Vera-Juice,,Converted from oz to gals,,,7,gal,Walmart,CHECKED IN,2/20/2022,7,7,2/22/2022,2/22/2022,2/20/2022,6,2,2/22/2022,0,-5,Tampa,,,,,$30.59 ,$214.14 ,$26.46 ,,,$240.60 ,$34.37 ,CBS,,,,,,,,,Yes,Yes,14,8,1,2022,Feb,7,,Ingredient,,RM-Aloe-Vera-Juice,7,gal,
2/14/2022,,2073,,PCH-8oz-Stndup-WH-Matt,,111277,,,"1,000",pcs,Sav on Bags,CHECKED IN,2/20/2022,5,7,2/28/2022,03/01/22,2/20/2022,6,9,03/01/22,0,2,Tampa,,,,,$0.26 ,$259.00 ,$39.30 ,,,$298.30 ,$0.30 ,Advance Payment,,,,,,,,,No,No,12,15,0,2022,Feb,7,UPS TN 1Z6777680346997896,Container/Pouch,,PCH-8oz-Stndup-WH-Matt,"1,000",pcs,
2/14/2022,,2067,,WL-Cystic-Spot-0.5oz-PLSF,,,,,692,pcs,PLSF,CHECKED IN,3/30/2022,42,7,04/06/22,04/06/22,3/15/2022,29,6,3/21/2022,-15,-1,Tampa,,,,,$2.49 ,"$1,723.08 ",,,,"$1,723.08 ",$2.49 ,100% Due on Receipt,,,,,,,,,Yes,Yes,49,35,1,2022,Feb,7,,,,WL-Cystic-Spot-0.5oz-PLSF,692,pcs,
2/14/2022,,2067,,WL-Cystic-Spot-0.5oz-PLSF,,,,,"1,308",pcs,PLSF,CHECKED IN,3/30/2022,42,7,04/06/22,04/06/22,3/30/2022,44,5,04/04/22,0,-2,Tampa,,,,,$2.49 ,"$3,256.92 ",$119.00 ,,,"$3,375.92 ",$2.58 ,100% Due on Receipt,,5410,,,,"$5,103.98 ",04/01/22,04/02/22,No,Yes,49,49,1,2022,Feb,7,,,,WL-Cystic-Spot-0.5oz-PLSF,"1,308",pcs,
