iSKU,Brand,PHX Class,Theoretical QTY,Location,Actual Count,Date Counted,UOM,Mfg After Date Counted (+),Received QTY After Actual Count (From Receiving Logs Only) (+),FO After Date Counted (-),FO After Date Counted (-) (FROM BUNDLES),IHF After Date Counted (-),Duplicate,ASIN,FBA VELOZ RANKING,Past 30 MO,Past 30 FO,Manufactured-Fulfilled,,Theo Count Static,Actual Count,Date Counted,Warehouse Remarks,Variance,,,,NOT IN WIR-FG,
TH-Green-Tea-4oz,Teaki Hut,B,3,04-Jan,5,10/04/24,Units,0,0,0,0,2,,B00U31UEBQ,0,500,500,0,,,5,10/04/24,,40.00%,,,,,Teakihut Powders
TH-Pu-Erh-Tea-4oz,Teaki Hut,C,20,,21,10/04/24,Units,0,0,0,0,1,,B06XW84324,0,0,0,0,,,21,10/04/24,,4.76%,,,,,Teakihut Powders
TH-Matcha-Green-Tea-5oz-Organic,Teaki Hut,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0B6WT8KTQ,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Teakihut Powders
TH-Matcha-Green-Tea-2oz-Organic,Teaki Hut,C,0,,0,10/04/24,Units,0,0,0,0,0,,B010OITYD6,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Teakihut Powders
BUNDLE-TH-matc-puer-blk-var-4oz,Teaki Hut,C,0,,0,10/04/24,Units,0,0,0,0,0,,B09LXBB9KH,0,0,0,0,,,0,10/04/24,,0.00%,,,,,Teakihut Powders
TH-Monk-Fruit-Stevia-Blend-4X-4oz,Teaki Hut,C,4,,4,10/04/24,Units,0,0,0,0,0,,B0B21J8WRZ,4,0,0,0,,,4,10/04/24,,0.00%,,,,,Teakihut Powders
WHYz FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHYZ-Beta-Alanine-Powder-350g,WHYZ,C,21,,21,10/04/24,Units,0,0,0,0,0,,B0BCW35QNF,21,0,0,0,,,21,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-ALCAR-Powder-125g,WHYZ,C,176,,176,10/04/24,Units,0,0,0,0,0,,B0BCWSFT2Q,176,0,0,0,,,176,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Shilajit-Powder-50g,WHYZ,B,67,,67,10/04/24,Units,0,0,0,0,0,,B0BCWNFB7G,67,0,0,0,,,67,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Myo-Inositol-Powder-8oz,WHYZ,C,6,,8,10/04/24,Units,0,0,0,0,2,,B0BCWQZ7G9,6,0,0,0,,,8,10/04/24,,25.00%,,,,,WHYZ FG
WHYZ-Organic-MonkFruit-Powder-5oz,WHYZ,A,126,,130,10/04/24,Units,0,0,0,0,4,,B0BD8LPJKQ,126,0,0,0,,,130,10/04/24,,3.08%,,,,,WHYZ FG
WHYZ-Organic-Stevia-Powder-8oz,WHYZ,B,47,,47,10/04/24,Units,0,0,0,0,0,,B0BDRSB3V9,47,0,0,0,,,47,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Magnesium-Bisglycinate-10oz,WHYZ,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0BDRYDT9W,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Tongkat-Ali-Powder-4oz,WHYZ,C,26,,27,10/04/24,Units,0,0,0,0,1,,B0CL9SZQPV,26,0,0,0,,,27,10/04/24,,3.70%,,,,,WHYZ FG
WHYZ-Black-Tea-Powder-4.5oz,WHYZ,PLC-2024,83,,88,10/04/24,Units,0,0,0,0,5,,B0DFCJCQXS,83,700,600,100,,,88,10/04/24,,5.68%,,,,,WHYZ FG
WHYZ-Organic-Matcha-Powder-125g,WHYZ,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0BFXL2HFP,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Organic-WheatGrass-Powder-300g,WHYZ,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0BFYMSYF4,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Organic-Cordyceps-Powder-200g,WHYZ,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0BG2WHGPF,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Organic-Spirulina-Powder-250g,WHYZ,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0BFYRRCS4,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-L-Theanine-Powder-125g,WHYZ,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0BJ119CWH,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-VitaminC-Powder-500g,WHYZ,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0BJ11Z3R4,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-MyoInositol-Powder-8oz,WHYZ,B,0,,0,10/04/24,Units,0,0,0,0,0,,B0CFTXNZJZ,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Green-Coffee-Bean-Powder-125g,WHYZ,C,0,,0,10/04/24,Units,0,0,0,0,0,,B0BFRK1ZDS,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Stevia-Liquid-Drops-8oz,WHYZ,A,112,,115,10/04/24,Units,0,0,0,0,3,,B0CGLMBNDZ,112,1060,1060,0,,,115,10/04/24,,2.61%,,,,,WHYZ FG
WHYZ-Organic-Spirulina-250g,WHYZ,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0DF7VD6PZ,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Organic-Matcha-125g,WHYZ,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0DF7TTBVK,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Organic-Wheat-Grass-Powder-300g,WHYZ,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0DG5PHF23,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
WHYZ-Caffeine-Theanine-Capsules,WHYZ,PLC-2024,0,,0,10/04/24,Units,0,0,0,0,0,,B0DG5LFWTT,0,0,0,0,,,0,10/04/24,,0.00%,,,,,WHYZ FG
Tejonova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
